model,duration,total_images,batch_size,average_batch_duration,balanced_accuracy,env
aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,99.938,200,1,0.86112,98.81,cpu
aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,85.943,200,2,1.65344,98.81,cpu
aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,79.86,200,5,3.81853,98.81,cpu
aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,77.375,200,7,5.11854,98.81,cpu
aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,80.349,200,10,7.57432,98.81,cpu
aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,99.568,200,20,16.85695,98.81,cpu
aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,101.754,200,30,23.49807,98.81,cpu
aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,103.632,200,40,33.05882,98.81,cpu
tzhao3/DeiT-CIFAR10,90.883,200,1,0.868,97.281,cpu
tzhao3/DeiT-CIFAR10,82.609,200,2,1.59473,97.281,cpu
tzhao3/DeiT-CIFAR10,74.834,200,5,3.59385,97.281,cpu
tzhao3/DeiT-CIFAR10,76.812,200,7,5.05839,97.281,cpu
tzhao3/DeiT-CIFAR10,79.707,200,10,7.60968,97.281,cpu
tzhao3/DeiT-CIFAR10,104.399,200,20,17.33799,97.281,cpu
tzhao3/DeiT-CIFAR10,107.445,200,30,24.13135,97.281,cpu
tzhao3/DeiT-CIFAR10,112.381,200,40,32.88126,97.281,cpu
ahsanjavid/convnext-tiny-finetuned-cifar10,31.121,200,1,0.28278,97.54,cpu
ahsanjavid/convnext-tiny-finetuned-cifar10,28.635,200,2,0.50151,97.54,cpu
ahsanjavid/convnext-tiny-finetuned-cifar10,25.965,200,5,1.155,97.54,cpu
ahsanjavid/convnext-tiny-finetuned-cifar10,26.186,200,7,1.6509,97.54,cpu
ahsanjavid/convnext-tiny-finetuned-cifar10,25.951,200,10,2.34362,97.54,cpu
ahsanjavid/convnext-tiny-finetuned-cifar10,47.38,200,20,6.57944,97.54,cpu
ahsanjavid/convnext-tiny-finetuned-cifar10,48.714,200,30,9.90992,97.54,cpu
ahsanjavid/convnext-tiny-finetuned-cifar10,47.236,200,40,11.76318,97.54,cpu
facebook/deit-tiny-patch16-224,23.731,200,1,0.09836,74.861,cpu
facebook/deit-tiny-patch16-224,13.306,200,2,0.21824,74.861,cpu
facebook/deit-tiny-patch16-224,10.079,200,5,0.37903,74.861,cpu
facebook/deit-tiny-patch16-224,10.045,200,7,0.53346,74.861,cpu
facebook/deit-tiny-patch16-224,9.98,200,10,0.73286,74.861,cpu
facebook/deit-tiny-patch16-224,11.35,200,20,1.56746,74.861,cpu
facebook/deit-tiny-patch16-224,23.925,200,30,3.28758,74.861,cpu
facebook/deit-tiny-patch16-224,10.634,200,40,2.96172,74.861,cpu
facebook/deit-tiny-distilled-patch16-224,11.876,200,1,0.08928,80.266,cpu
facebook/deit-tiny-distilled-patch16-224,10.441,200,2,0.14327,80.266,cpu
facebook/deit-tiny-distilled-patch16-224,9.082,200,5,0.31926,80.266,cpu
facebook/deit-tiny-distilled-patch16-224,9.238,200,7,0.47616,80.266,cpu
facebook/deit-tiny-distilled-patch16-224,10.04,200,10,0.72151,80.266,cpu
facebook/deit-tiny-distilled-patch16-224,11.6,200,20,1.66845,80.266,cpu
facebook/deit-tiny-distilled-patch16-224,9.965,200,30,2.00283,80.266,cpu
facebook/deit-tiny-distilled-patch16-224,11.801,200,40,3.48044,80.266,cpu
facebook/convnextv2-tiny-22k-224,42.838,200,1,0.37576,96.915,cpu
facebook/convnextv2-tiny-22k-224,35.667,200,2,0.65793,96.915,cpu
facebook/convnextv2-tiny-22k-224,37.722,200,5,1.7004,96.915,cpu
facebook/convnextv2-tiny-22k-224,38.865,200,7,2.39214,96.915,cpu
facebook/convnextv2-tiny-22k-224,39.105,200,10,3.54658,96.915,cpu
facebook/convnextv2-tiny-22k-224,38.865,200,20,4.39214,96.915,cpu
facebook/convnextv2-tiny-22k-224,39.352,200,30,5.78983,96.915,cpu
facebook/convnextv2-tiny-22k-224,40.468,200,40,6.61189,96.915,cpu
aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,14.427,200,1,0.49166,98.81,mac_cpu
aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,16.034,200,2,0.9885,98.81,mac_cpu
aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,13.619,200,5,2.56994,98.81,mac_cpu
aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,21.31,200,7,3.78387,98.81,mac_cpu
aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,20.742,200,10,5.51878,98.81,mac_cpu
aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,24.034,200,20,13.28402,98.81,mac_cpu
aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,19.302,200,30,17.73826,98.81,mac_cpu
aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,23.168,200,40,22.00959,98.81,mac_cpu
tzhao3/DeiT-CIFAR10,13.835,200,1,0.52403,97.281,mac_cpu
tzhao3/DeiT-CIFAR10,15.98,200,2,1.00866,97.281,mac_cpu
tzhao3/DeiT-CIFAR10,13.038,200,5,2.45682,97.281,mac_cpu
tzhao3/DeiT-CIFAR10,19.698,200,7,3.35783,97.281,mac_cpu
tzhao3/DeiT-CIFAR10,19.333,200,10,4.92989,97.281,mac_cpu
tzhao3/DeiT-CIFAR10,23.66,200,20,12.77193,97.281,mac_cpu
tzhao3/DeiT-CIFAR10,19.365,200,30,17.7411,97.281,mac_cpu
tzhao3/DeiT-CIFAR10,23.729,200,40,22.55955,97.281,mac_cpu
ahsanjavid/convnext-tiny-finetuned-cifar10,7.094,200,1,0.24719,97.54,mac_cpu
ahsanjavid/convnext-tiny-finetuned-cifar10,8.142,200,2,0.46731,97.54,mac_cpu
ahsanjavid/convnext-tiny-finetuned-cifar10,6.352,200,5,1.12506,97.54,mac_cpu
ahsanjavid/convnext-tiny-finetuned-cifar10,9.788,200,7,1.6199,97.54,mac_cpu
ahsanjavid/convnext-tiny-finetuned-cifar10,9.487,200,10,2.31416,97.54,mac_cpu
ahsanjavid/convnext-tiny-finetuned-cifar10,9.319,200,20,4.78102,97.54,mac_cpu
ahsanjavid/convnext-tiny-finetuned-cifar10,8.577,200,30,7.1168,97.54,mac_cpu
ahsanjavid/convnext-tiny-finetuned-cifar10,9.819,200,40,8.62827,97.54,mac_cpu
facebook/deit-tiny-patch16-224,1.802,200,1,0.0496,74.861,mac_cpu
facebook/deit-tiny-patch16-224,1.904,200,2,0.08867,74.861,mac_cpu
facebook/deit-tiny-patch16-224,1.757,200,5,0.23498,74.861,mac_cpu
facebook/deit-tiny-patch16-224,2.439,200,7,0.319,74.861,mac_cpu
facebook/deit-tiny-patch16-224,2.396,200,10,0.49194,74.861,mac_cpu
facebook/deit-tiny-patch16-224,2.289,200,20,0.90095,74.861,mac_cpu
facebook/deit-tiny-patch16-224,1.998,200,30,1.36422,74.861,mac_cpu
facebook/deit-tiny-patch16-224,2.429,200,40,1.83051,74.861,mac_cpu
facebook/deit-tiny-distilled-patch16-224,1.856,200,1,0.04606,80.266,mac_cpu
facebook/deit-tiny-distilled-patch16-224,2.01,200,2,0.08683,80.266,mac_cpu
facebook/deit-tiny-distilled-patch16-224,1.788,200,5,0.22489,80.266,mac_cpu
facebook/deit-tiny-distilled-patch16-224,2.382,200,7,0.31487,80.266,mac_cpu
facebook/deit-tiny-distilled-patch16-224,2.286,200,10,0.45384,80.266,mac_cpu
facebook/deit-tiny-distilled-patch16-224,2.286,200,20,0.90409,80.266,mac_cpu
facebook/deit-tiny-distilled-patch16-224,1.978,200,30,1.39466,80.266,mac_cpu
facebook/deit-tiny-distilled-patch16-224,2.332,200,40,1.77903,80.266,mac_cpu
facebook/convnextv2-tiny-22k-224,7.496,200,1,0.26336,96.915,mac_cpu
facebook/convnextv2-tiny-22k-224,8.789,200,2,0.50666,96.915,mac_cpu
facebook/convnextv2-tiny-22k-224,7.835,200,5,1.40199,96.915,mac_cpu
facebook/convnextv2-tiny-22k-224,10.627,200,7,1.76557,96.915,mac_cpu
facebook/convnextv2-tiny-22k-224,11.096,200,10,2.85394,96.915,mac_cpu
facebook/convnextv2-tiny-22k-224,14.109,200,20,8.17444,96.915,mac_cpu
facebook/convnextv2-tiny-22k-224,11.819,200,30,10.61805,96.915,mac_cpu
facebook/convnextv2-tiny-22k-224,13.77,200,40,12.61772,96.915,mac_cpu
tzhao3/DeiT-CIFAR10,20.857,200,1,0.06937,97.281,cuda
tzhao3/DeiT-CIFAR10,5.616,200,2,0.05756,97.281,cuda
tzhao3/DeiT-CIFAR10,5.156,200,5,0.12847,97.281,cuda
tzhao3/DeiT-CIFAR10,5.316,200,7,0.16179,97.281,cuda
tzhao3/DeiT-CIFAR10,5.084,200,10,0.24797,97.281,cuda
tzhao3/DeiT-CIFAR10,4.912,200,20,0.49732,97.281,cuda
tzhao3/DeiT-CIFAR10,6.33,200,30,0.72424,97.281,cuda
tzhao3/DeiT-CIFAR10,4.624,200,40,0.97655,97.281,cuda
facebook/deit-tiny-patch16-224,5.55,200,1,0.01983,74.861,cuda
facebook/deit-tiny-patch16-224,3.275,200,2,0.02126,74.861,cuda
facebook/deit-tiny-patch16-224,2.77,200,5,0.0271,74.861,cuda
facebook/deit-tiny-patch16-224,3.547,200,7,0.02834,74.861,cuda
facebook/deit-tiny-patch16-224,2.525,200,10,0.03834,74.861,cuda
facebook/deit-tiny-patch16-224,2.361,200,20,0.06077,74.861,cuda
facebook/deit-tiny-patch16-224,2.341,200,30,0.08942,74.861,cuda
facebook/deit-tiny-patch16-224,5.453,200,40,0.2158,74.861,cuda
facebook/deit-tiny-distilled-patch16-224,6.13,200,1,0.02506,80.266,cuda
facebook/deit-tiny-distilled-patch16-224,6.054,200,2,0.04288,80.266,cuda
facebook/deit-tiny-distilled-patch16-224,4.633,200,5,0.04873,80.266,cuda
facebook/deit-tiny-distilled-patch16-224,4.839,200,7,0.06066,80.266,cuda
facebook/deit-tiny-distilled-patch16-224,3.607,200,10,0.04374,80.266,cuda
facebook/deit-tiny-distilled-patch16-224,3.673,200,20,0.09273,80.266,cuda
facebook/deit-tiny-distilled-patch16-224,3.316,200,30,0.12888,80.266,cuda
facebook/deit-tiny-distilled-patch16-224,2.515,200,40,0.13325,80.266,cuda
aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,27.149,200,1,0.08021,98.81,cuda
aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,5.492,200,2,0.05825,98.81,cuda
aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,4.932,200,5,0.1156,98.81,cuda
aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,4.653,200,7,0.17626,98.81,cuda
aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,5.418,200,10,0.27713,98.81,cuda
aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,5.731,200,20,0.52181,98.81,cuda
aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,4.941,200,30,0.71976,98.81,cuda
aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,5.383,200,40,1.07752,98.81,cuda
facebook/convnextv2-tiny-22k-224,1.593,200,1,0.00797,96.915,cuda
facebook/convnextv2-tiny-22k-224,1.081,200,2,0.01083,96.915,cuda
facebook/convnextv2-tiny-22k-224,1.017,200,5,0.02502,96.915,cuda
facebook/convnextv2-tiny-22k-224,1.0155,200,7,0.03568,96.915,cuda
facebook/convnextv2-tiny-22k-224,0.966,200,10,0.05308,96.915,cuda
facebook/convnextv2-tiny-22k-224,1.3135,200,20,0.13147,96.915,cuda
facebook/convnextv2-tiny-22k-224,0.994,200,30,0.14886,96.915,cuda
facebook/convnextv2-tiny-22k-224,0.992,200,40,0.1993,96.915,cuda
ahsanjavid/convnext-tiny-finetuned-cifar10,1.202,200,1,0.00796,97.54,cuda
ahsanjavid/convnext-tiny-finetuned-cifar10,0.937,200,2,0.01083,97.54,cuda
ahsanjavid/convnext-tiny-finetuned-cifar10,0.856,200,5,0.025,97.54,cuda
ahsanjavid/convnext-tiny-finetuned-cifar10,0.8385,200,7,0.03568,97.54,cuda
ahsanjavid/convnext-tiny-finetuned-cifar10,0.903,200,10,0.05308,97.54,cuda
ahsanjavid/convnext-tiny-finetuned-cifar10,0.8645,200,20,0.13147,97.54,cuda
ahsanjavid/convnext-tiny-finetuned-cifar10,1.159,200,30,0.14886,97.54,cuda
ahsanjavid/convnext-tiny-finetuned-cifar10,0.8575,200,40,0.17171,97.54,cuda