model,env,params,size,train_batch_size,global_step,total_flos,train_runtime,train_samples_per_second,train_steps_per_second,eval_accuracy,eval_f1,eval_loss,eval_precision,eval_recall,eval_runtime,eval_samples_per_second,eval_steps_per_second
google/vit-base-patch16-224,COLAB_GPU,86.568M,330.229MB,32,97,9.7074665e+17,957.5835,13.054,0.101,0.9363,0.93643904,0.22924475,0.93693554,0.9363,130.6242,76.555,2.396
google/vit-base-patch16-224,GPU,86.568M,330.229MB,32,97,9.7074665e+17,617.5826,20.24,0.157,0.9379,0.93810654,0.22490075,0.9384563,0.9379,83.1032,120.332,3.766
facebook/convnextv2-nano-22k-224,COLAB_GPU,15.624M,59.6MB,32,97,1.7520113e+17,424.0569,29.477,0.229,0.8538,0.8539014,0.49234742,0.85509956,0.8538,61.6467,162.215,5.077
facebook/convnextv2-nano-22k-224,GPU,15.624M,59.6MB,32,97,1.7520113e+17,1218.2137,10.261,0.08,0.8233,0.8513419,2.5080433,0.84562576,0.8233,51.6962,193.438,6.055
facebook/deit-tiny-patch16-224,GPU,5.717M,21.81MB,32,97,6.411358e+16,204.6064,61.093,0.474,0.7737,0.7728097,0.7553186,0.7770013,0.7737,32.5008,307.685,9.631
facebook/convnextv2-tiny-22k-224,COLAB_GPU,28.635M,109.236MB,32,97,3.2111082e+17,581.52,21.495,0.167,0.9028,0.90267295,0.37436625,0.9042486,0.9028,81.93,122.055,3.82
facebook/convnextv2-base-22k-224,COLAB_GPU,88.718M,338.432MB,32,97,9.948578e+17,1260.867,9.914,0.077,0.9566,0.95662385,0.16246407,0.95698446,0.9566,163.154,61.292,1.918
facebook/convnext-small-224,GPU,50.224M,191.588MB,32,97,5.6319508e+17,3000.2715,4.166,0.032,0.7804,0.7827263,1.6534504,0.79146487,0.7804,75.4458,132.545,4.149
facebook/deit-tiny-patch16-224,COLAB_GPU,5.717M,21.81MB,32,97,6.411358e+16,217.691,57.421,0.446,0.7749,0.7742454,0.74520713,0.77618873,0.7749,35.6215,280.73,8.787
facebook/convnext-small-224,COLAB_GPU,50.224M,191.588MB,32,97,5.6319508e+17,753.797,16.583,0.129,0.7755,0.7710176,0.9229999,0.78093415,0.7755,101.4997,98.522,3.084